course_name,section,related_book,vocabulary
"10-12 Advanced Reading - 19th Century Literature","Week 3","The Picture of Dorian Gray (Oscar Wilde)",
"10-12 Advanced Reading - 19th Century Literature","Week 4","Dracula (Bram Stoker)",
"10-12 Advanced Reading - 19th Century Literature","Week 5","Dracula (Bram Stoker)",
"10-12 Advanced Reading - 19th Century Literature","Week 6","Dracula (Bram Stoker)",
"10-12 Advanced Reading - 19th Century Literature","Week 7","The Scarlet Letter (Nathaniel Hawthorne)",
"10-12 Advanced Reading - 19th Century Literature","Week 8","The Scarlet Letter (Nathaniel Hawthorne)",
"10-12 Advanced Reading - 19th Century Literature","Week 9","The Scarlet Letter (Nathaniel Hawthorne)",
"10-12 Advanced Reading - 19th Century Literature","Week 10","Jane Eyre (Charlotte Brontë)",
"10-12 Advanced Reading - 19th Century Literature","Week 11","Jane Eyre (Charlotte Brontë)",
"10-12 Advanced Reading - 19th Century Literature","Week 12","Jane Eyre (Charlotte Brontë)",
"10-12 Advanced Reading - 19th Century Literature","Week 13","A Tale of Two Cities (Charles Dickens)",
"10-12 Advanced Reading - 19th Century Literature","Week 14","A Tale of Two Cities (Charles Dickens)",
"10-12 Advanced Reading - 19th Century Literature","Week 15","A Tale of Two Cities (Charles Dickens)",
"10-12 Advanced Reading - 19th Century Literature","Week 16","The Red Badge of Courage (Stephen Crane)",
"10-12 Advanced Reading - 19th Century Literature","Week 17","The Red Badge of Courage (Stephen Crane)",
"10-12 Advanced Reading - 19th Century Literature","Week 18","The Red Badge of Courage (Stephen Crane)",
"10-12 Advanced Reading - 19th Century Literature","Week 19","North and South (Elizabeth Gaskell)",
"10-12 Advanced Reading - 19th Century Literature","Week 20","North and South (Elizabeth Gaskell)",
"10-12 Advanced Reading - 19th Century Literature","Week 21","North and South (Elizabeth Gaskell)",
"10-12 Advanced Reading - 19th Century Literature","Week 22","Crime and Punishment (Fyodor Dostoevsky)",
"10-12 Advanced Reading - 19th Century Literature","Week 23","Crime and Punishment (Fyodor Dostoevsky)",
"10-12 Advanced Reading - 19th Century Literature","Week 24","Crime and Punishment (Fyodor Dostoevsky)",
"10-12 Advanced Reading - 19th Century Literature","Week 25","Wuthering Heights (Emily Brontë)",
"10-12 Advanced Reading - 19th Century Literature","Week 26","Wuthering Heights (Emily Brontë)",
"10-12 Advanced Reading - 19th Century Literature","Week 27","Wuthering Heights (Emily Brontë)",
"10-12 Advanced Reading - 19th Century Literature","Week 28","Heart of Darkness (Joseph Conrad)",
"10-12 Advanced Reading - 19th Century Literature","Week 29","Heart of Darkness (Joseph Conrad)",
"10-12 Advanced Reading - 19th Century Literature","Week 30","Heart of Darkness (Joseph Conrad)",
"10-12 Advanced Reading - 20th Century American","Week 1","One Flew Over the Cuckoo’s Nest (Ken Kesey)",
"10-12 Advanced Reading - 20th Century American","Week 2","One Flew Over the Cuckoo’s Nest (Ken Kesey)",
"10-12 Advanced Reading - 20th Century American","Week 3","One Flew Over the Cuckoo’s Nest (Ken Kesey)",
"10-12 Advanced Reading - 20th Century American","Week 4","The Violent Bear it Away (Flannery O’Connor)",
"10-12 Advanced Reading - 20th Century American","Week 5","The Violent Bear it Away (Flannery O’Connor)",
"10-12 Advanced Reading - 20th Century American","Week 6","The Violent Bear it Away (Flannery O’Connor)",
"10-12 Advanced Reading - 20th Century American","Week 7","A Streetcar Named Desire (Tennessee Williams)",
"10-12 Advanced Reading - 20th Century American","Week 8","A Streetcar Named Desire (Tennessee Williams)",
"10-12 Advanced Reading - 20th Century American","Week 9","A Streetcar Named Desire (Tennessee Williams)",
"10-12 Advanced Reading - 20th Century American","Week 10","The Bell Jar (Sylvia Plath)",
"10-12 Advanced Reading - 20th Century American","Week 11","The Bell Jar (Sylvia Plath)",
"10-12 Advanced Reading - 20th Century American","Week 12","The Bell Jar (Sylvia Plath)",
"10-12 Advanced Reading - 20th Century American","Week 13","The Color Purple (Alice Walker)",
"10-12 Advanced Reading - 20th Century American","Week 14","The Color Purple (Alice Walker)",
"10-12 Advanced Reading - 20th Century American","Week 15","The Color Purple (Alice Walker)",
"10-12 Advanced Reading - 20th Century American","Week 16","Native Son (Richard Wright)",
"10-12 Advanced Reading - 20th Century American","Week 17","Native Son (Richard Wright)",
"10-12 Advanced Reading - 20th Century American","Week 18","Native Son (Richard Wright)",
"10-12 Advanced Reading - 20th Century American","Week 19","Slaughterhouse Five (Kurt Vonnegut)",
"10-12 Advanced Reading - 20th Century American","Week 20","Slaughterhouse Five (Kurt Vonnegut)",
"10-12 Advanced Reading - 20th Century American","Week 21","Slaughterhouse Five (Kurt Vonnegut)",
"10-12 Advanced Reading - 20th Century American","Week 22","Fear and Loathing in Las Vegas (Hunter S. Thompson)",
"10-12 Advanced Reading - 20th Century American","Week 23","Fear and Loathing in Las Vegas (Hunter S. Thompson)",
"10-12 Advanced Reading - 20th Century American","Week 24","Fear and Loathing in Las Vegas (Hunter S. Thompson)",
"10-12 Advanced Reading - 20th Century American","Week 25","No Country for Old Men (Cormac McCarthy)",
"10-12 Advanced Reading - 20th Century American","Week 26","No Country for Old Men (Cormac McCarthy)",
"10-12 Advanced Reading - 20th Century American","Week 27","No Country for Old Men (Cormac McCarthy)",
"10-12 Advanced Reading - 20th Century American","Week 28","Lolita (Vladimir Nabokov)",
"10-12 Advanced Reading - 20th Century American","Week 29","Lolita (Vladimir Nabokov)",
"10-12 Advanced Reading - 20th Century American","Week 30","The Crying of Lot 49 (Thomas Pynchon)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 1","Tender is the Night (F. Scott Fitzgerald)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 2","Tender is the Night (F. Scott Fitzgerald)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 3","We Have Always Lived in the Castle (Shirley Jackson)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 4","We Have Always Lived in the Castle (Shirley Jackson)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 5","Giovanni’s Room (James Baldwin)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 6","Giovanni’s Room (James Baldwin)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 7","Long Day’s Journey Into Night (Eugene O’Neill)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 8","Long Day’s Journey Into Night (Eugene O’Neill)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 9","Play It As It Lays (Joan Didion)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 10","Play It As It Lays (Joan Didion)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 11","The Bluest Eye (Toni Morrison)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 12","The Bluest Eye (Toni Morrison)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 13","Housekeeping (Marilynne Robinson)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 14","Housekeeping (Marilynne Robinson)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 15","Carrie (Stephen King)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 16","Carrie (Stephen King)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 17","Do Androids Dream of Electric Sheep? (Philip K. Dick)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 18","Do Androids Dream of Electric Sheep? (Philip K. Dick)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 19","White Noise (Don DeLillo)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 20","White Noise (Don DeLillo)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 21","White Noise (Don DeLillo)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 22","American Psycho (Bret Easton Ellis)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 23","American Psycho (Bret Easton Ellis)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 24","American Psycho (Bret Easton Ellis)",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 25","Placeholder: Short Story Unit - Poe, Kincaid, Salinger",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 26","Placeholder: Short Story Unit - Poe, Kincaid, Salinger",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 27","Placeholder: In-Class Essay - Challenging the Canon",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 28","Placeholder: Critical Article Review",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 29","Placeholder: Final Comparative Essay Prep",
"10-12 Advanced Reading - 20th Century American Alternative Canon","Week 30","This is Water (David Foster Wallace)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 1","My Antonia (Willa Cather)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 2","My Antonia (Willa Cather)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 3","My Antonia (Willa Cather)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 4","The Heart is a Lonely Hunter (Carson McCullers)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 5","The Heart is a Lonely Hunter (Carson McCullers)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 6","The Heart is a Lonely Hunter (Carson McCullers)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 7","The Violent Bear It Away (Flannery O’Connor)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 8","The Violent Bear It Away (Flannery O’Connor)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 9","Play it As it Lays (Joan Didion)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 10","Play it As it Lays (Joan Didion)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 11","The Bell Jar (Sylvia Plath)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 12","The Bell Jar (Sylvia Plath)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 13","The Left Hand of Darkness (Ursula K. Le Guin)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 14","The Left Hand of Darkness (Ursula K. Le Guin)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 15","The Left Hand of Darkness (Ursula K. Le Guin)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 16","The Color Purple (Alice Walker)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 17","The Color Purple (Alice Walker)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 18","The Color Purple (Alice Walker)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 19","Love Medicine (Louise Erdrich)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 20","Love Medicine (Louise Erdrich)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 21","Love Medicine (Louise Erdrich)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 22","Beloved (Toni Morrison)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 23","Beloved (Toni Morrison)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 24","Beloved (Toni Morrison)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 25","The Joy Luck Club (Amy Tan)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 26","The Joy Luck Club (Amy Tan)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 27","The Joy Luck Club (Amy Tan)",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 28","Placeholder: Student-Chosen Novel Work",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 29","Placeholder: Student-Chosen Novel Work & Essay Prep",
"10-12 Advanced Reading - 20th Century American Literature Female Writers","Week 30","Placeholder: Final Essay & Course Wrap-up",
"10-12 Advanced Reading - 21st Century American","Week 1","The Underground Railroad (Colson Whitehead)",
"10-12 Advanced Reading - 21st Century American","Week 2","The Underground Railroad (Colson Whitehead)",
"10-12 Advanced Reading - 21st Century American","Week 3","The Underground Railroad (Colson Whitehead)",
"10-12 Advanced Reading - 21st Century American","Week 4","The Brief Wondrous Life of Oscar Wao (Junot Diaz)",
"10-12 Advanced Reading - 21st Century American","Week 5","The Brief Wondrous Life of Oscar Wao (Junot Diaz)",
"10-12 Advanced Reading - 21st Century American","Week 6","The Brief Wondrous Life of Oscar Wao (Junot Diaz)",
"10-12 Advanced Reading - 21st Century American","Week 7","Middlesex (Jeffrey Eugenides)",
"10-12 Advanced Reading - 21st Century American","Week 8","Middlesex (Jeffrey Eugenides)",
"10-12 Advanced Reading - 21st Century American","Week 9","Middlesex (Jeffrey Eugenides)",
"10-12 Advanced Reading - 21st Century American","Week 10","Gilead (Marilynne Robinson)",
"10-12 Advanced Reading - 21st Century American","Week 11","Gilead (Marilynne Robinson)",
"10-12 Advanced Reading - 21st Century American","Week 12","Gilead (Marilynne Robinson)",
"10-12 Advanced Reading - 21st Century American","Week 13","The Flamethrowers (Rachel Kushner)",
"10-12 Advanced Reading - 21st Century American","Week 14","The Flamethrowers (Rachel Kushner)",
"10-12 Advanced Reading - 21st Century American","Week 15","The Flamethrowers (Rachel Kushner)",
"10-12 Advanced Reading - 21st Century American","Week 16","Freedom (Jonathan Franzen)",
"10-12 Advanced Reading - 21st Century American","Week 17","Freedom (Jonathan Franzen)",
"10-12 Advanced Reading - 21st Century American","Week 18","Freedom (Jonathan Franzen)",
"10-12 Advanced Reading - 21st Century American","Week 19","Salvage the Bones (Jesmyn Ward)",
"10-12 Advanced Reading - 21st Century American","Week 20","Salvage the Bones (Jesmyn Ward)",
"10-12 Advanced Reading - 21st Century American","Week 21","Salvage the Bones (Jesmyn Ward)",
"10-12 Advanced Reading - 21st Century American","Week 22","The Sellout (Paul Beatty)",
"10-12 Advanced Reading - 21st Century American","Week 23","The Sellout (Paul Beatty)",
"10-12 Advanced Reading - 21st Century American","Week 24","The Sellout (Paul Beatty)",
"10-12 Advanced Reading - 21st Century American","Week 25","Leaving the Atocha Station (Ben Lerner)",
"10-12 Advanced Reading - 21st Century American","Week 26","Leaving the Atocha Station (Ben Lerner)",
"10-12 Advanced Reading - 21st Century American","Week 27","Leaving the Atocha Station (Ben Lerner)",
"10-12 Advanced Reading - 21st Century American","Week 28","The Road (Cormac McCarthy)",
"10-12 Advanced Reading - 21st Century American","Week 29","The Road (Cormac McCarthy)",
"10-12 Advanced Reading - 21st Century American","Week 30","The Road (Cormac McCarthy)",
"10-12 Advanced Reading - Bildungsromans","Week 1","Jane Eyre (Charlotte Brontë)",
"10-12 Advanced Reading - Bildungsromans","Week 2","Jane Eyre (Charlotte Brontë)",
"10-12 Advanced Reading - Bildungsromans","Week 3","Jane Eyre (Charlotte Brontë)",
"10-12 Advanced Reading - Bildungsromans","Week 4","Great Expectations (Charles Dickens)",
"10-12 Advanced Reading - Bildungsromans","Week 5","Great Expectations (Charles Dickens)",
"10-12 Advanced Reading - Bildungsromans","Week 6","Great Expectations (Charles Dickens)",
"10-12 Advanced Reading - Bildungsromans","Week 7","The Picture of Dorian Gray (Oscar Wilde)",
"10-12 Advanced Reading - Bildungsromans","Week 8","The Picture of Dorian Gray (Oscar Wilde)",
"10-12 Advanced Reading - Bildungsromans","Week 9","The Picture of Dorian Gray (Oscar Wilde)",
"10-12 Advanced Reading - Bildungsromans","Week 10","Invisible Man (Ralph Ellison)",
"10-12 Advanced Reading - Bildungsromans","Week 11","Invisible Man (Ralph Ellison)",
"10-12 Advanced Reading - Bildungsromans","Week 12","Invisible Man (Ralph Ellison)",
"10-12 Advanced Reading - Bildungsromans","Week 13","A Portrait of the Artist as a Young Man (James Joyce)",
"10-12 Advanced Reading - Bildungsromans","Week 14","A Portrait of the Artist as a Young Man (James Joyce)",
"10-12 Advanced Reading - Bildungsromans","Week 15","A Portrait of the Artist as a Young Man (James Joyce)",
"10-12 Advanced Reading - Bildungsromans","Week 16","The Bell Jar (Sylvia Plath)",
"10-12 Advanced Reading - Bildungsromans","Week 17","The Bell Jar (Sylvia Plath)",
"10-12 Advanced Reading - Bildungsromans","Week 18","The Bell Jar (Sylvia Plath)",
"10-12 Advanced Reading - Bildungsromans","Week 19","Midnight’s Children (Salman Rushdie)",
"10-12 Advanced Reading - Bildungsromans","Week 20","Midnight’s Children (Salman Rushdie)",
"10-12 Advanced Reading - Bildungsromans","Week 21","Midnight’s Children (Salman Rushdie)",
"10-12 Advanced Reading - Bildungsromans","Week 22","Norwegian Wood (Haruki Murakami)",
"10-12 Advanced Reading - Bildungsromans","Week 23","Norwegian Wood (Haruki Murakami)",
"10-12 Advanced Reading - Bildungsromans","Week 24","Norwegian Wood (Haruki Murakami)",
"10-12 Advanced Reading - Bildungsromans","Week 25","The Flamethrowers (Rachel Kushner)",
"10-12 Advanced Reading - Bildungsromans","Week 26","The Flamethrowers (Rachel Kushner)",
"10-12 Advanced Reading - Bildungsromans","Week 27","The Flamethrowers (Rachel Kushner)",
"10-12 Advanced Reading - Bildungsromans","Week 28","Call Me By Your Name (André Aciman)",
"10-12 Advanced Reading - Bildungsromans","Week 29","Call Me By Your Name (André Aciman)",
"10-12 Advanced Reading - Bildungsromans","Week 30","Call Me By Your Name (André Aciman)",
"10-12 Advanced Reading - Campus Novel","Week 1","The Groves of Academe (Mary McCarthy)",
"10-12 Advanced Reading - Campus Novel","Week 2","The Groves of Academe (Mary McCarthy)",
"10-12 Advanced Reading - Campus Novel","Week 3","The Groves of Academe (Mary McCarthy)",
"10-12 Advanced Reading - Campus Novel","Week 4","The Human Stain (Philip Roth)",
"10-12 Advanced Reading - Campus Novel","Week 5","The Human Stain (Philip Roth)",
"10-12 Advanced Reading - Campus Novel","Week 6","The Human Stain (Philip Roth)",
"10-12 Advanced Reading - Campus Novel","Week 7","Rebel Angels (Robertson Davies)",
"10-12 Advanced Reading - Campus Novel","Week 8","Rebel Angels (Robertson Davies)",
"10-12 Advanced Reading - Campus Novel","Week 9","Rebel Angels (Robertson Davies)",
"10-12 Advanced Reading - Campus Novel","Week 10","Disgrace (JM Coetzee)",
"10-12 Advanced Reading - Campus Novel","Week 11","Disgrace (JM Coetzee)",
"10-12 Advanced Reading - Campus Novel","Week 12","Disgrace (JM Coetzee)",
"10-12 Advanced Reading - Campus Novel","Week 13","Wonder Boys (Michael Chabon)",
"10-12 Advanced Reading - Campus Novel","Week 14","Wonder Boys (Michael Chabon)",
"10-12 Advanced Reading - Campus Novel","Week 15","Wonder Boys (Michael Chabon)",
"10-12 Advanced Reading - Campus Novel","Week 16","Dear Committee Members (Julie Schumacher)",
"10-12 Advanced Reading - Campus Novel","Week 17","Dear Committee Members (Julie Schumacher)",
"10-12 Advanced Reading - Campus Novel","Week 18","Dear Committee Members (Julie Schumacher)",
"10-12 Advanced Reading - Campus Novel","Week 19","On Beauty (Zadie Smith)",
"10-12 Advanced Reading - Campus Novel","Week 20","On Beauty (Zadie Smith)",
"10-12 Advanced Reading - Campus Novel","Week 21","On Beauty (Zadie Smith)",
"10-12 Advanced Reading - Campus Novel","Week 22","Chemistry (Weike Wang)",
"10-12 Advanced Reading - Campus Novel","Week 23","Chemistry (Weike Wang)",
"10-12 Advanced Reading - Campus Novel","Week 24","Chemistry (Weike Wang)",
"10-12 Advanced Reading - Campus Novel","Week 25","Straight Man (Richard Russo)",
"10-12 Advanced Reading - Campus Novel","Week 26","Straight Man (Richard Russo)",
"10-12 Advanced Reading - Campus Novel","Week 27","Straight Man (Richard Russo)",
"10-12 Advanced Reading - Campus Novel","Week 28","The Secret History (Donna Tartt)",
"10-12 Advanced Reading - Campus Novel","Week 29","The Secret History (Donna Tartt)",
"10-12 Advanced Reading - Campus Novel","Week 30","The Secret History (Donna Tartt)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 1","Of Mice and Men (John Steinbeck)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 2","Of Mice and Men (John Steinbeck)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 3","Of Mice and Men (John Steinbeck)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 4","The Heart is a Lonely Hunter (Carson McCullers)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 5","The Heart is a Lonely Hunter (Carson McCullers)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 6","The Heart is a Lonely Hunter (Carson McCullers)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 7","Their Eyes Were Watching God (Zora Neale Hurston)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 8","Their Eyes Were Watching God (Zora Neale Hurston)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 9","Their Eyes Were Watching God (Zora Neale Hurston)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 10","Tender is the Night (F. Scott Fitzgerald)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 11","Tender is the Night (F. Scott Fitzgerald)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 12","Tender is the Night (F. Scott Fitzgerald)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 13","Animal Farm (George Orwell)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 14","Animal Farm (George Orwell)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 15","Animal Farm (George Orwell)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 16","Metamorphosis (Franz Kafka)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 17","Metamorphosis (Franz Kafka)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 18","The Trial (Franz Kafka) (Selections)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 19","A Portrait of the Artist as a Young Man (James Joyce)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 20","A Portrait of the Artist as a Young Man (James Joyce)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 21","A Portrait of the Artist as a Young Man (James Joyce)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 22","Ethan Frome (Edith Wharton)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 23","Ethan Frome (Edith Wharton)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 24","Ethan Frome (Edith Wharton)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 25","Waiting for Godot (Samuel Beckett)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 26","Waiting for Godot (Samuel Beckett)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 27","Waiting for Godot (Samuel Beckett)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 28","The Stranger (Albert Camus)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 29","The Stranger (Albert Camus)",
"10-12 Advanced Reading - Early 20th Century Literature","Week 30","The Stranger (Albert Camus)",
"10-12 Advanced Reading - East Asian Literature","Week 1","Kafka on the Shore (Haruki Murakami)",
"10-12 Advanced Reading - East Asian Literature","Week 2","Kafka on the Shore (Haruki Murakami)",
"10-12 Advanced Reading - East Asian Literature","Week 3","Kafka on the Shore (Haruki Murakami)",
"10-12 Advanced Reading - East Asian Literature","Week 4","American Born Chinese (Gene Luen Yang)",
"10-12 Advanced Reading - East Asian Literature","Week 5","American Born Chinese (Gene Luen Yang)",
"10-12 Advanced Reading - East Asian Literature","Week 6","Dream of the Red Chamber (Cao Xueqin - Excerpts)",
"10-12 Advanced Reading - East Asian Literature","Week 7","Dream of the Red Chamber (Cao Xueqin - Excerpts)",
"10-12 Advanced Reading - East Asian Literature","Week 8","The Temple of the Golden Pavillion (Yukio Mishima)",
"10-12 Advanced Reading - East Asian Literature","Week 9","The Temple of the Golden Pavillion (Yukio Mishima)",
"10-12 Advanced Reading - East Asian Literature","Week 10","Red Sorghum (Mo Yan)",
"10-12 Advanced Reading - East Asian Literature","Week 11","Red Sorghum (Mo Yan)",
"10-12 Advanced Reading - East Asian Literature","Week 12","Red Sorghum (Mo Yan)",
"10-12 Advanced Reading - East Asian Literature","Week 13","Do Not Say We Have Nothing (Madeleine Thien)",
"10-12 Advanced Reading - East Asian Literature","Week 14","Do Not Say We Have Nothing (Madeleine Thien)",
"10-12 Advanced Reading - East Asian Literature","Week 15","Do Not Say We Have Nothing (Madeleine Thien)",
"10-12 Advanced Reading - East Asian Literature","Week 16","The Sympathizer (Viet Thanh Nguyen)",
"10-12 Advanced Reading - East Asian Literature","Week 17","The Sympathizer (Viet Thanh Nguyen)",
"10-12 Advanced Reading - East Asian Literature","Week 18","The Sympathizer (Viet Thanh Nguyen)",
"10-12 Advanced Reading - East Asian Literature","Week 19","The Vegetarian (Han Kang)",
"10-12 Advanced Reading - East Asian Literature","Week 20","The Vegetarian (Han Kang)",
"10-12 Advanced Reading - East Asian Literature","Week 21","The Vegetarian (Han Kang)",
"10-12 Advanced Reading - East Asian Literature","Week 22","The Three Body Problem (Cixin Liu)",
"10-12 Advanced Reading - East Asian Literature","Week 23","The Three Body Problem (Cixin Liu)",
"10-12 Advanced Reading - East Asian Literature","Week 24","The Three Body Problem (Cixin Liu)",
